Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
15th Street Cafe,78701,05/22/2013,91,"303 W 15TH ST
AUSTIN, TX 78701
(30.277693, -97.742469)",2801033,Routine Inspection
15th Street Cafe,78701,05/13/2015,97,"303 W 15TH ST
AUSTIN, TX 78701
(30.277693, -97.742469)",2801033,Routine Inspection
15th Street Cafe,78701,06/18/2014,97,"303 W 15TH ST
AUSTIN, TX 78701
(30.277693, -97.742469)",2801033,Routine Inspection
15th Street Cafe,78701,09/13/2012,93,"303 W 15TH ST
AUSTIN, TX 78701
(30.277693, -97.742469)",2801033,Routine Inspection
15th Street Cafe,78701,12/05/2013,97,"303 W 15TH ST
AUSTIN, TX 78701
(30.277693, -97.742469)",2801033,Routine Inspection
15th Street Cafe,78701,12/02/2014,93,"303 W 15TH ST
AUSTIN, TX 78701
(30.277693, -97.742469)",2801033,Routine Inspection
1st Food Mart,78704,07/29/2014,90,"1410 S 1ST ST
AUSTIN, TX 78704
(30.250364, -97.7548)",10677646,Routine Inspection
1st Food Mart,78704,02/09/2015,94,"1410 S 1ST ST
AUSTIN, TX 78704
(30.250364, -97.7548)",10677646,Routine Inspection
1st Food Mart,78704,01/16/2014,90,"1410 S 1ST ST
AUSTIN, TX 78704
(30.250364, -97.7548)",10677646,Routine Inspection
1st Food Mart,78704,06/17/2013,100,"1410 S 1ST ST
AUSTIN, TX 78704
(30.250364, -97.7548)",10677646,Routine Inspection
1st Food Mart,78704,02/14/2013,97,"1410 S 1ST ST
AUSTIN, TX 78704
(30.250364, -97.7548)",10677646,Routine Inspection
1-Stop Food Store,78751,09/13/2012,97,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.312363, -97.715363)",10632697,Routine Inspection
1-Stop Food Store,78751,07/11/2014,93,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.312363, -97.715363)",10632697,Routine Inspection
1-Stop Food Store,78751,01/08/2014,100,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.312363, -97.715363)",10632697,Routine Inspection
1-Stop Food Store,78751,05/15/2015,100,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.312363, -97.715363)",10632697,Routine Inspection
1-Stop Food Store,78751,12/23/2014,100,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.312363, -97.715363)",10632697,Routine Inspection
1-Stop Food Store,78751,06/26/2013,100,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.312363, -97.715363)",10632697,Routine Inspection
